-1688467643333862,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467643323844,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467643314866,00000102,false,Rx,0,8,02,9A,01,73,00,81,8F,00,
-1688467643303801,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467643294827,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467643284796,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467643274797,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467643264788,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467643255708,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467643250712,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
